,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Upernavik,GL,72.7868,-56.1549,32.74,98,100,23.33,snow
81,Pankovka,RU,58.5,31.1999,44.33,86,39,8.75,scattered clouds
82,Port Elizabeth,ZA,-33.918,25.5701,72.1,88,0,13.8,clear sky
83,Saint-Pierre,RE,-21.3393,55.4781,71.28,75,0,4.61,clear sky
84,Alekseyevka,RU,50.6309,38.6903,42.87,57,0,5.53,clear sky
85,Butaritari,KI,3.0707,172.7902,81.28,77,44,9.78,light rain
86,Mayo,US,38.8876,-76.5119,68.41,61,90,7.0,overcast clouds
87,Bataiporã,BR,-22.2953,-53.2711,76.05,73,78,7.78,broken clouds
88,Orange Cove,US,36.6244,-119.3137,70.63,59,58,4.52,broken clouds
89,Darasun,RU,51.6667,114.0,12.74,63,11,1.86,few clouds
90,Kostanay,KZ,53.1667,63.5833,44.58,86,100,12.8,overcast clouds
91,Harrison,US,30.4091,-89.0436,73.76,60,1,8.05,clear sky
92,Sayyan,YE,15.1718,44.3244,55.98,56,60,10.47,broken clouds
93,Rognan,NO,67.0953,15.3878,47.88,75,100,8.01,light rain
94,Lashio,MM,22.9333,97.75,61.7,99,20,1.03,few clouds
95,Kumul,CN,42.8,93.45,49.57,46,100,3.87,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,-10.16,100,99,5.75,overcast clouds
97,Fairbanks,US,64.8378,-147.7164,46.36,47,20,14.97,few clouds
98,Souillac,MU,-20.5167,57.5167,72.36,83,75,3.44,broken clouds
99,Yamada,JP,39.4667,141.95,51.73,82,14,4.63,few clouds
100,Aloleng,PH,16.1307,119.7824,77.85,74,17,8.68,few clouds
101,Arraial do Cabo,BR,-22.9661,-42.0278,73.36,94,75,10.36,mist
102,Saint Paul Harbor,US,57.79,-152.4072,44.11,93,90,4.61,light rain
103,Kaifeng,CN,34.7911,114.3483,58.06,73,97,10.4,overcast clouds
104,Biltine,TD,14.5333,20.9167,86.81,17,38,7.2,scattered clouds
