City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Lakota,CI,72.99,light rain,5.8528,-5.6883,Aziz bah divers
365,Mauá,BR,68.11,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
370,Anjozorobe,MG,66.52,scattered clouds,-18.4,47.8667,Domaine LE CASTEL Mevatanàna Anjozorobe
376,Ibanda,TZ,71.04,overcast clouds,-2.7974,32.4746,Lahe Hotel Mwanza
377,Pascagoula,US,73.72,clear sky,30.3658,-88.5561,Regency Inn
389,Peniche,PT,71.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
393,Rio Rancho,US,70.75,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
394,Fukuechō,JP,68.2,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
395,Karak,JO,65.12,broken clouds,31.1667,35.75,Cairwan Hotel
402,Colares,PT,70.79,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
408,Russell,US,67.15,few clouds,32.3502,-85.1999,Macs
415,Calvià,ES,72.07,scattered clouds,39.5657,2.5062,Castell Son Claret
419,Talavera de la Reina,ES,67.6,overcast clouds,39.9635,-4.8308,Be Live City Center Talavera
420,East London,ZA,66.42,broken clouds,-33.0153,27.9116,Tu Casa
423,Naze,JP,69.08,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
424,San Ramon,US,66.56,clear sky,37.7799,-121.978,San Ramon Marriott
429,Coyhaique,CL,69.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
432,Quatre Cocos,MU,72.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
434,Manthani,IN,68.38,scattered clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
436,Shelton,US,66.85,scattered clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
439,Sabalgarh,IN,68.2,clear sky,26.25,77.4,Kailadevi studio
447,Sesimbra,PT,70.75,overcast clouds,38.4445,-9.1015,Sana Sesimbra
449,Maham,IN,69.53,clear sky,28.9833,76.3,Shri Jangid Brahman Dharamshals
450,Ramon,PH,72.64,broken clouds,16.7842,121.535,May traveller's Inn
